Name,URL,Cities,Countries,Remote OK?,Process,Keywords
Enigma,https://www.enigma.com,New York,United States of America (USA),,"2-part takehome project, followed by a pair programming exercise","takehome,project,pair,exercise"
Ento.com,https://ento.com/blog/ento-interview-process-101,Melbourne,Australia,,"On-site interview to talk about your experiences and what you're looking for in your next role, followed by a take-home practical test relevant to the work you'll be undertaking at Ento.","onsite,interview,experience,youre,role,test,work,youll,ento"
Equal Experts,https://www.equalexperts.com,"London,Manchester,New York,Pune,Lisbon,Calgary","United Kingdom (UK),United Kingdom (UK),United States of America (USA),India,Portugal,Canada",,Fizzbuzz test done at home followed by Pair Programming session at office and finally face to face technical and attitude interview.,"face,fizzbuzz,test,home,pair,session,office,attitude,interview"
Ericsson,https://www.ericsson.com,Dublin,Ireland,,"Skype/phone interview followed by Face 2 Face interview, discussions and architecture questions followed by final small project on a problem similar to daily work.","interview,face,skype,phone,discussion,architecture,question,project,problem,work"
"eShares, Inc",https://esharesinc.com/jobs,"San Francisco,Palo Alto,Seattle,Rio de Janeiro,London,New York","United States of America (USA),United States of America (USA),United States of America (USA),Brazil,United Kingdom (UK),United States of America (USA)",,"Phone call, practical technical screen, on site to meet the team & explore the company","phone,screen,site,team,company"
Etix Everywhere,https://www.etixeverywhere.com/en/job-offers/,Luxembourg City,Luxembourg,,,
EURA NOVA,https://euranova.eu,"Mont-Saint-Guibert,Marseille,Tunis","Belgium,France,Tunisia",,"attitude interview, unpaid take-home project, technical discussion with 1 or 2 technical employees (remote or face 2 face), face 2 face discussion with HR, partner, and technical staff to have a foretaste of the collaboration","face,discussion,attitude,interview,project,employee,hr,partner,staff,foretaste,collaboration"
Euro Payment Group,http://www.europaymentgroup.com/,Frankfurt,Germany,,Take-home project followed by face to face interview,"face,takehome,project,interview"
Exoscale,https://exoscale.ch,Zurich,Switzerland,,Take-home project. Discussion and presentation. Then entire team meet.,"takehome,project,discussion,presentation,team"
F(x),https://fdex.com.br,São Paulo,Brazil,,"kype interview, Take-home project and onsite interview to evaluate the candidate","interview,kype,takehome,project,onsite,candidate"
FATMAP,https://www.fatmap.com,"London,Berlin,Vilnius","United Kingdom (UK),Germany,Lithuania",,"Skype discussion, Take-home project, Face to face","face,skype,discussion,takehome,project"
Fauna,https://fauna.com,San Francisco,United States of America (USA),checked,"Take home project, then follow up with interviews on-site or remote. Interviews are both technical and non-technical. Technical interviews comprehend the scope of the home project.","interview,home,project,both,technical,scope"
Feather,https://feather-cfm.com,,,checked,"Take-home challenge, portfolio discussion & team meeting","takehome,challenge,portfolio,discussion,team"
Final,https://getfinal.com/jobs,Oakland,United States of America (USA),,"Phone screen, take-home challenge, code-review, on-site",
Findy,https://blog.findy.us/findy-saiyo/,Tokyo,Japan,,Tech interview + On-site discussion,"tech,interview,onsite,discussion"
FINE,https://www.wearefine.com/careers,Portland,United States of America (USA),,Small take-home challenge + follow-up discussion,"small,challenge,followup,discussion"
Fitbot,https://thefitbot.com/careers.html,Boulder,United States of America (USA),,Pairing & writing code with the founders for a few hours,"code,founder,hour"
Food52,https://food52.com/jobs,New York,United States of America (USA),checked,"Take-home project, discussion on-site or remote, interviews with both technical and non-technical staff","takehome,project,discussion,interview,both,staff"
Fooji,https://fooji.com,Lexington,United States of America (USA),checked,Take-home project,"takehome,project"
Formidable Labs,https://www.formidable.com/careers,"Seattle,London","United States of America (USA),United Kingdom (UK)",checked,"Take-home project, remote pair programming, discussion on-site or remote","takehome,project,pair,discussion"
Founders,https://founders.as/joinus,Copenhagen,Denmark,,Take Home project + Interviews,"home,project,interview"
Foundry Interactive,http://www.foundryinteractive.com/contact/,Seattle,United States of America (USA),,"On-site or remote discussion, paid trial project with pairing and code reviews","onsite,discussion,project,code,review"
fournova,https://www.fournova.com/jobs,,,checked,"Take-home project, discussion via video call","takehome,project,discussion,video"
FreeAgent,https://www.freeagent.com/company/careers/,Edinburgh,United Kingdom (UK),,"Take-home project, pair programming, discussion and interviews","takehome,project,pair,discussion,interview"
Freeletics,https://www.freeletics.com/en/corporate/jobs,Munich,Germany,,"Small real-world challenge, multiple interviews on-site/remote and social gathering with team.","small,challenge,interview,team"
Frontside,https://frontside.io/careers,Austin,United States of America (USA),,Phone interview with remote pairing session. Followed by in person pairing (paid for the day) and lunch with the team.,"phone,interview,session,person,day,lunch,team"
Funda,https://www.funda.nl/vacatures,Amsterdam,Netherlands,,Take Home test + Discussion On-Site/Remote,"home,test,discussion,onsite,remote"
FundApps,https://www.fundapps.co/about-us/join-our-team,London,United Kingdom (UK),,Coffee with an Engineer; take-home kata; code review + on-site pair programming exercise.,"coffee,engineer,katum,code,review,pair,exercise"
Gamevy,https://www.gamevycareers.com,"London,Bilbao","United Kingdom (UK),Spain",checked,"Informal culture discussions, pair programming with our engineers","informal,culture,discussion,pair,engineer"
GatherContent,https://gathercontent.com/careers/designer,,,checked,"Culture-first interviews, pair programming and remote, informal technical discussions","culturefirst,interview,pair,discussion"
Ginetta,http://jobs.ginetta.net,"Zürich,Braga","Switzerland,Portugal",,"Culture-first interviews, take home assignment that resembles a real-world problem we often solve, then discussion about the assignment in-person with pair-programming improvement sessions with our developers.","assignment,culturefirst,interview,home,problem,discussion,improvement,session,developer"
GitLab,https://about.gitlab.com/jobs/,,,checked,"General technical questions, [an issue](https://gitlab.com/gitlab-org/gitlab-ce/issues) to work in a 1-hour screen sharing session","issue,general,question,http,gitlaborg,gitlabce,work,screen,session"
GitPrime,https://www.gitprime.com/,Denver,United States of America (USA),checked,"small short term real-world project, paid project on production code","project,term,production,code"
GoCardless,https://gocardless.com/about/jobs/,London,United Kingdom (UK),,"Project to work at home, general technical questions, pair programming with engineers","project,work,home,question,pair,engineer"
GoDaddy,https://www.godaddy.com/careers/overview,Sunnyvale,United States of America (USA),,Pair programming with senior engineers,"pair,engineer"
Graffino,https://www.graffino.com,Sibiu,Romania,,"Take-home project, discussion on-site","takehome,project,discussion"
Gramercy Tech,http://www.gramercytech.com/,New York,United States of America (USA),,Pair programming & discussion on-site,"pair,discussion"
grandcentrix,https://www.grandcentrix.net/jobs/,Cologne,Germany,,"Take-home project, discussion on-site","takehome,project,discussion"
Graphcool,https://www.graph.cool,Berlin,Germany,,"On-site pair programming of a small, isolated real world task","onsite,pair,world,task"
Graphicacy,http://www.graphicacy.com,Washington,United States of America (USA),,"Phone interview; in-person or virtual interview depending on location and availability; two brief technical assignments focused on flexibility, creativity, and general competency","interview,phone,location,availability,two,assignment,flexibility,creativity,competency"
Graphistry,https://www.graphistry.com/careers,"Oakland,San Francisco","United States of America (USA),United States of America (USA)",checked,"Engineering, culture, and product discussions, and for junior developers, choice of take home or code review.","culture,product,discussion,developer,choice,home,code,review"
Grok Interactive,https://www.grok-interactive.com,San Antonio,United States of America (USA),,Take-home project with code review and a follow-up in-person interview.,"takehome,project,code,review,followup,interview"
Gruntwork,http://www.gruntwork.io/,,,checked,"Paid, take-home project with pair coding","project,pair"
GTM Sportswear,https://gtmsportswear.com/careers,Manhattan,United States of America (USA),checked,"Remote pairing session, then a take-home test.","remote,session,test"
Happy Team,https://happyteam.io/,Warsaw,Poland,checked,"General technical questions, takehome paid exercise with feedback/discussion during implementation","general,question,takehome,exercise,feedback,discussion,implementation"
Happypie,http://www.happypie.com/,Uppsala,Sweden,,"Takehome excercise with code review after, in-person interview","takehome,excercise,code,review,interview"
Hashrocket,https://hashrocket.com/,"Chicago,Jacksonville Beach","United States of America (USA),United States of America (USA)",,"Remote pairing session, paid week pair programming with everyone on the team","remote,session,week,pair,everyone,team"
HE:labs,https://helabs.com/,Rio de Janeiro,Brazil,checked,Take-home project and discussion via Skype.,"takehome,project,discussion,skype"
HelloFresh,https://www.hellofresh.com/jobs/,Berlin,Germany,,"Take-home project, discussion via Skype or on-site","takehome,project,discussion,skype"
Heptio,https://www.heptio.com/jobs/,Seattle,United States of America (USA),checked,"Take-home project, discussion on-site","takehome,project,discussion"
Hill Holliday,http://www.hhcc.com/careers/,Boston,United States of America (USA),,"Take-home project on GitHub, in-person interview / culture fit interview","interview,takehome,project,github,culture"
Hireology,http://www.hireology.com/careers,Chicago,United States of America (USA),checked,Walk through personal/work projects and discuss experience,"work,project,experience"
HolidayPirates,https://holidaypirates.group/en/jobs,Berlin,Germany,,"Take-home project, discussion via Skype or on-site","takehome,project,discussion,skype"
Home Chef,https://www.homechef.com/careers,Chicago,United States of America (USA),checked,"Get-to-know-you meeting with the team, followed by a half-day collaborative coding session","gettoknowyou,team,halfday,session"
HoxHunt,https://jobs.hoxhunt.com/,Helsinki,Finland,,"Take-home project, pair programming on-site","takehome,project,pair"
Human API,http://humanapi.co/company/careers,Redwood City,United States of America (USA),,"Technical phone interview, then on-site pair programming and design discussion","technical,phone,interview,pair,design,discussion"
I|O,https://io.co.za/opportunities,Cape Town,South Africa,,,
Icalia Labs,http://icalialabs.com,Monterrey,Mexico,,"Pair programming, cultural fit session","pair,session"
iConstituent,http://iconstituent.com/careers/,Washington,United States of America (USA),,Take-home project and code review in-person,"takehome,project,code,review"
ImmobilienScout24,https://boards.greenhouse.io/scout24,Berlin,Germany,,"Take-home project, discussion on-site","takehome,project,discussion"
Impraise,http://jobs.impraise.com,Amsterdam,Netherlands,,"Take home test, real world pair programming","home,test,world,pair"
Indellient,http://www.indellient.com/careers,Oakville,United States of America (USA),,Series of interviews both technical and non-technical,"series,interview,both"
inKind Capital,https://inkindcapital.com,Boulder,United States of America (USA),,"Discussing real-world problems, pair programming, dinner & drinks with the team","problem,pair,dinner,drink,team"
Inmar,https://www.inmar.com/careers/,"Austin,Winston-Salem","United States of America (USA),United States of America (USA)",checked,Take-home project and conversation-style interviews,"takehome,project,conversationstyle,interview"
Innoplexus,https://www.innoplexus.com/careers/,"Pune,Frankfurt","India,Germany",,Take-home projects and On-site pair programming assignment.,"takehome,project,onsite,pair,assignment"
InQuicker,https://inquicker.com/,,,checked,"Multiple chats with dev and product team members, code walkthrough with senior developers","multiple,chat,dev,product,team,member,code,walkthrough,developer"
Instacart,https://careers.instacart.com/,San Francisco,United States of America (USA),,"Take-home real world project, pair programming on-site","takehome,world,project,pair"
Intelipost,https://www.intelipost.com.br,São Paulo,Brazil,,"Take-home project, on-site code review and presentation (skype available if needed), discussion involving real world problems and interviews with different teams","takehome,project,code,review,presentation,skype,discussion,world,problem,interview,team"
Intercom,https://www.intercom.com/careers,"San Francisco,Chicago,Dublin","United States of America (USA),United States of America (USA),Ireland",,"Real-world technical design and problem discussion, pair programming on-site","realworld,design,problem,discussion,pair"
Interset,https://interset.com/careers/,Ottawa,Canada,,Discussion of technical background and past experience. Relevant take-home project for junior developers  ,"discussion,background,experience,relevant,project,developer"
Ithaka,https://www.ithaka.travel,Mumbai,India,,Phone interview followed by a small development task. Finally a phone interview with CEO.,"phone,interview,development,task,ceo"
iTrellis,http://itrellis.com/,Seattle,United States of America (USA),,"Phone screen, then a take-home project, then pairing (remote or on-site) with 3 developers on the take-home project.","project,phone,screen,developer"
Jamasoftware,http://www.jamasoftware.com,Portland,United States of America (USA),,Initial phone screen with hiring manager. In person pairing on project similar to day-to-day work with a separate cultural interview,"initial,phone,screen,manager,person,project,work,interview"
Jamit Labs,https://jamitlabs.com/jobs,Karlsruhe,Germany,,Phone interview or on-site interview & take-home code challenge or on-site programming session,"interview,phone,code,challenge,session"
Jiminny,https://www.jiminny.com,Sofia,Bulgaria,,Phone screen. Take-home exercise. Follow-up discussion.,"phone,screen,takehome,exercise,followup,discussion"
Jitbit,https://www.jitbit.com/,"Tel Aviv,London","Israel,United Kingdom (UK)",,Take-home real-world task,"takehome,task"
Journal Tech,https://journaltech.com/jobs,Los Angeles,United States of America (USA),,"Mini take-home project, phone interview, discussion on-site","mini,project,phone,interview,discussion"
Journalism++,http://www.jplusplus.org/,Berlin,Germany,,Apply through a [relevant online challenge](http://internship.jplusplus.org/) to show your technical skills and your capacity to investigate,"challenge,http,show,skill,capacity"
JustWatch,https://www.justwatch.com/us/talent,Berlin,Germany,,"Take-Home project, discussion on-site","takehome,project,discussion"
Kahoot!,https://www.getkahoot.com/jobs,"London,Oslo","United Kingdom (UK),Norway",,Phone screening to discuss technical background and past experience. Take-home assignment followed by on-site code review and interview. Cultural fit assessment,"phone,background,experience,takehome,assignment,code,review,interview,cultural,assessment"
Kayako,https://www.kayako.com/,"Gurgaon,London","India,United Kingdom (UK)",,"Take-home assignment, series of experience based interviews, cultural fit assessment","takehome,assignment,series,experience,interview,assessment"
Kentik,https://www.kentik.com/careers,San Francisco,United States of America (USA),,Phone screening to discuss technical background and past experience. Take-home assignment followed by on-site code review and interview. Cultural fit assessment,"phone,background,experience,takehome,assignment,code,review,interview,cultural,assessment"
Keymetrics,https://keymetrics.io,Paris,France,,"Phone Interview, Take-home project based on our [API](https://github.com/keymetrics/keymetrics-api), IRL meeting with the whole team","phone,interview,takehome,project,api,http,keymetric,keymetricsapi,irl,team"
"Kindred Group, Native Apps Team",https://careers.kindredplc.com,"Stockholm,London","Sweden,United Kingdom (UK)",,"On-site/Skype programming task, Interview","onsite,skype,task,interview"
Kinnek,https://www.kinnek.com/jointeam,New York,United States of America (USA),,"Phone screen, on-site pairing session, take-home project","phone,screen,session,project"
Kiwi.com,https://code.kiwi.com,Brno,Czechia,,"Phone Interview, Take-home projects, On-site code review & interview","interview,phone,takehome,project,onsite,code,review"
Koddi Inc.,http://www.koddi.com/open-positions/,Fort Worth,United States of America (USA),,"Phone Interview(s), take-home project, on-site interview","interview,phone,project"
Kongregate,http://www.kongregate.com/jobs,Portland,United States of America (USA),,Phone screening. Take home project. On-site pairing and conversational technical interviews.,"phone,home,project,onsite,interview"
Korbit,https://www.korbit.co.kr/about/jobs,Seoul,South Korea,,Take home assignment followed by on-site code review and interview,"home,assignment,code,review,interview"
Landing.jobs,https://landing.jobs/at/landing-jobs,Lisbon,Portugal,,"Interviews (in-person or remote), Take home coding project","interview,home,project"
Lanetix,http://engineering.lanetix.com,San Francisco,United States of America (USA),,[Our Hiring Process](https://engineering.lanetix.com/2015-10-20/hiring-process/),"process,http,hiringprocess"
LateRooms,http://careers.laterooms.com,Manchester,United Kingdom (UK),,Telephone interview followed by coding problem at home. Suitable submissions proceed to an onsite interview.,"interview,telephone,problem,home,suitable,submission,onsite"
Launch Academy,https://launchacademy.com/careers,"Philadelphia,Boston","United States of America (USA),United States of America (USA)",,"Nontechnical phone screen, pair programming with team member, and potentially a ""guest lecture"" for our students","nontechnical,phone,screen,pair,team,member,guest,lecture,student"
Legalstart.fr,https://www.legalstart.fr,Paris,France,,Telephone interview followed by take-home challenges. Suitable applicants are asked to do further on-pair interviews on site.,"interview,telephone,challenge,suitable,applicant,onpair,site"
Leverton,https://www.leverton.ai,Berlin,Germany,,Initial chat with the HR continued with 1-2 rounds chat with the team; followed by a technical test and finally a chat with the CTO/MD. [Jobs page](http://leverton-jobs.personio.de),"chat,initial,hr,round,team,test,cto,md,job,page,http"
Liberty Mutual,https://www.libertymutualgroup.com/careers,"Seattle,Boston,Indianapolis","United States of America (USA),United States of America (USA),United States of America (USA)",,"Initial interview, discussion on-site, interview with peers","interview,initial,discussion,peer"
Librato,https://www.librato.com/jobs,"San Francisco,Boston,Austin,Vancouver,Krakow","United States of America (USA),United States of America (USA),United States of America (USA),Canada,Poland",,"Take home coding project, conversational technical interviews on-site","home,project,interview"
Lightning Jar,http://lightningjar.agency,San Antonio,United States of America (USA),,"Remote pairing session, Initial interview,discussion on-site","remote,session,initial,interview,discussion"
Lightricks,http://www.lightricks.com,Jerusalem,Israel,,"Initial interview, Take home project, discussion on-site","initial,interview,home,project,discussion"
LinkResearchTools,http://jobs.linkresearchtools.com/job-offers/,Vienna,Austria,,"Skype interview, mini take-home exercise, discussion on-site / personal interview","interview,skype,mini,exercise,discussion"
Listium,https://listium.com/jobs,Melbourne,Australia,,Design and code proof of concept features with the team,"design,code,proof,concept,feature,team"
Litmus,https://litmus.com/careers#openings,,,checked,"General technical questions, take-home code challenge, discussion, on-site programming session, meet & greet with the team","general,question,code,challenge,discussion,session,team"
LittleThings,https://www.littlethings.com/careers.html,New York,United States of America (USA),,"Take home code challenge, Discussion","home,code,challenge,discussion"
LoanZen,https://loanzen.in/team.html#Career,Bangalore,India,,"Initial phone interview about experience, a solve-at-home project based on the kind of work we do at our company, on-site interview discussing the submitted solution and a general discussion with the whole team","interview,initial,phone,experience,solveathome,project,kind,work,company,solution,discussion,team"
Locastic,https://www.locastic.com/posao/,Split,Croatia,,"Take-home code challenge, tehnical discussion & on-site programming session, meet & greet with the team","takehome,code,challenge,discussion,session,team"
Locaweb,https://www.locaweb.com.br/carreira/,São Paulo,Brazil,,"Skype interview, take-home project and discussion on-site","skype,interview,project,discussion"
LookBookHQ,http://www.lookbookhq.com/about/careers,Toronto,Canada,,"On-site discussion, pair programming exercise","onsite,discussion,pair,exercise"
Loom,https://www.useloom.com/careers,San Francisco,United States of America (USA),,"Google Hangouts resume dive on past experience, take-home project OR architectural phone screen, on-site interviews (2 technical architecture related to work, 1 or 2 non-technical)","google,hangout,dive,experience,project,phone,screen,interview,architecture,work"
Lydia,https://lydia-app.com/en/company/jobs,Paris,France,,"Mini take-home project, phone interview, discussion on-site","mini,project,phone,interview,discussion"
Lyft,https://lyft.com/jobs,San Francisco,United States of America (USA),,Pair programming on-site with your own personal laptop,"pair,laptop"
Lyoness Austria GmbH,http://www.lyoness-corporate.com/de-AT/Karriere/Jobangebote/,Graz,Austria,,"Take-Home project, discussion on-site","takehome,project,discussion"
Made Tech,https://www.madetech.com/careers,London,United Kingdom (UK),,[Our hiring process](https://github.com/madetech/handbook/tree/master/guides/hiring#20-minute-phone-conversation),"process,http,madetech,handbook,tree,master,guide"
Magnetis,https://magnetis.workable.com/,São Paulo,Brazil,checked,"Phone interview + take home assignment, followed by pair programming and informal meeting with the team.","phone,interview,home,assignment,pair,team"
Major League Soccer,https://careers-mlssoccer.icims.com/jobs/search?ss=1&searchCategory=20285,New York,United States of America (USA),,"Phone interview + short take home project, which is daily work focused. In person interview could involve discussing past projects or pair programming.","interview,project,phone,home,work,person,pair"
MakeTime,https://maketime.workable.com/,Lexington,United States of America (USA),,Practical exercise and/or a pairing session on site,"practical,exercise,session,site"
Mango Solutions,http://www.mango-solutions.com/wp/about-mango/team/,"London,Chippenham","United Kingdom (UK),United Kingdom (UK)",,"Initial phone interview, followed by on-site interview with take-home assignment","interview,initial,phone,assignment"
Mapbox,https://www.mapbox.com/jobs/,"San Francisco,Washington,Ayacucho,Bangalore,Berlin","United States of America (USA),United States of America (USA),Peru,India,Germany",checked,"Conversational interviews, paid onsite project with team.","conversational,interview,onsite,project,team"
Mavenlink,https://www.mavenlink.com/careers,"Salt Lake City,Irvine,San Francisco","United States of America (USA),United States of America (USA),United States of America (USA)",,On-site pairing with multiple engineers. Pairing excercises and pairing on company code.,"onsite,engineer,excercise,company,code"
Maxwell Health,https://www.maxwellhealth.com/careers,Boston,United States of America (USA),,Take-home exercise or pairing session with team. Then conversational meetings with members of the team.,"team,takehome,exercise,session,meeting,member"
Me & Company,https://me-company.de/jobs/,Düsseldorf,Germany,,You join us for one or two paid trial days to work on an assignment and to meet the team.,"one,two,day,work,assignment,team"
Media Pop,https://mediapop.co,Singapore,Singapore,,Take-home or unsupervised (onsite) real-world assignment,"takehome,onsite,assignment"
Meetrics,https://www.meetrics.com,Berlin,Germany,,"Initial interview, take-home code challenge and review","initial,interview,code,challenge,review"
Meltwater,http://underthehood.meltwater.com/jobs/,Manchester,United States of America (USA),,Small take home exercise that will be presented to the team during a QA style interview,"small,home,exercise,team,qa,style,interview"
Mention,https://mention.workable.com/,Paris,France,,Take-home small exercise followed up by on site meetings with your future coworkers,"takehome,exercise,site,meeting,future,coworker"
Mercatus,https://www.mercatus.com/company/careers/,Toronto,Canada,,Practical on-site project similar to daily work,"practical,project,work"
mfind,https://www.mfind.pl/dolacz-do-nas/,Warsaw,Poland,,"Phone call about technical experience, Take-home project or technical test(depends on experience), Onsite interview with technical lead.","experience,phone,takehome,project,test,onsite,interview"
miDrive,https://midrive.com/careers,London,United Kingdom (UK),,"Phone screen, Take-home project / technical test, Onsite interview with senior and peer.","phone,screen,takehome,project,test,onsite,interview,peer"
milch & zucker,https://www.milchundzucker.de,Bad Nauheim,Germany,,"Interview with direct feedback, applicants providing working sample, code review (product code or personal code of applications)","code,applicant,interview,feedback,sample,review,product"
Mimir,https://mimirhq.com/jobs/,Indianapolis,United States of America (USA),,"Take home interview, phone screen, in person interview where you decide how you want to be interviewed (questions, pair programming, etc.)","interview,home,phone,screen,person,question,pair"
Minute Media,http://www.minutemedia.com/careers/,Tel Aviv-Yafo,Israel,,Phone screening with engineer. On-site real-world challenge questions with two engineers. Sometimes a take-home assignment or existing code sample submission.,"engineer,phone,onsite,challenge,question,two,assignment,code,sample,submission"
Mirumee,https://mirumee.com/jobs/,Wroclaw,Poland,checked,"Pair programming and code review using one of the issues (or Pull Requests) in our open-source Saleor project, general discussion about programming, technology and candidate's experience","pair,code,review,one,issue,request,opensource,saleor,project,discussion,technology,candidate,experience"
Mixmax,https://mixmax.com/careers,San Francisco,United States of America (USA),,"Takehome assignment purely based on their platform, followed by phone interview","takehome,assignment,platform,phone,interview"
MobileCashout,https://www.mobilecashout.com,"Barcelona,Valencia","Spain,Spain",,"Quick introduction video call with a tech (less than 10-15 minutes). On-site open source contribution to a project of candidates choosing, paired with a tech from the team. Interview and a short questionaire about software design and relevant technologies. Interview and presentation of the company with a HR rep.","tech,interview,quick,introduction,video,minute,onsite,source,contribution,project,candidate,team,questionaire,software,design,technology,presentation,company,hr,rep"
Mode,https://about.modeanalytics.com/careers/,San Francisco,United States of America (USA),,Phone interview followed by onsite pair-architecting and discussion,"phone,interview,onsite,discussion"
MokaHR,http://mokahr.com,Beijing,China,,"Take home project/challenge, then on-site programming session taken from problems we encounter at work","home,project,challenge,session,problem,encounter,work"
Moneytree Front-end Web Team,https://moneytree.jp,Tokyo,Japan,,Pair programming exercise and social gathering with team,"pair,exercise,team"
Monzo,https://monzo.com,London,United Kingdom (UK),checked,"Phone interview with another engineer. Take-home assignment. Call to debrief on take-home assignment. Half-day interview (on-site or Hangouts) with three conversational sessions: (1) building on take-home test & real-world system design (verbal and collaborative); (2) digging into knowledge & understanding in 1-2 other relevant technical areas; (3) general background, teams and ways of working.","interview,assignment,phone,engineer,takehome,debrief,halfday,hangout,three,session,test,system,design,knowledge,area,background,team,way"
Mutual Mobile,https://mutualmobile.com/careers,"Austin,Hyderabad","United States of America (USA),India",,"Technical discussion, code test based on actual work you'll be doing, panel style discussions for cross-functional and culture-fit.","discussion,technical,code,test,work,youll,panel,style,culturefit"
Mutual of Omaha,http://www.mutualofomaha.com/careers/,Omaha,United States of America (USA),,"Panel Style Interviews analyzing problem solving, ability to adapt well to change, and interpersonal communication skills.","panel,style,interview,problem,ability,change,communication,skill"
Mutually Human Software,https://www.mutuallyhuman.com,"Grand Rapids,Columbus","United States of America (USA),United States of America (USA)",,"Collaborative problem analysis and design exercise, pairing exercise","exercise,collaborative,problem,analysis,design"
Nanobox,https://nanobox.io/,Lehi,United States of America (USA),,"A phone/video/person-to–person interview with a look at past projects (github, bitbucket, source code, etc.)",
Native Instruments,https://www.native-instruments.com,Berlin,Germany,,Takehome programming assignment and personal interviews with part of the hiring team.,"takehome,assignment,interview,part,team"
Nearsoft Inc,https://nearsoft.com/join-us/,"Hermosillo,Chihuahua,Mexico City","Mexico,Mexico,Mexico",,"Takehome [logic test](https://nearsoft.com/blog/the-logic-behind-nearsofts-logic-test/), english interview to check communication skills, short technical interview about experience, long technical discussion about languages/tools/practices you will use on daily basis, pair programming session.","interview,takehome,logic,test,http,blog,thelogicbehindnearsoftslogictest,english,check,communication,skill,experience,discussion,language,tool,practice,use,basis,pair,session"
Nedap,http://lifeatnedap.com/vacatures/,Groenlo,Netherlands,checked,"A simple conversation, human to human and a small on-site project","conversation,project"
Netflix Enterprise Platforms,https://jobs.netflix.com/jobs/861237,Los Gatos,United States of America (USA),,"Takehome exercise, series of real-world interviews with engineers, HR, engineering managers and our director.","takehome,exercise,series,interview,engineer,hr,manager,director"
Netguru,https://www.netguru.co/career,Poznań,Poland,checked,Takehome exercise & pair programming session,"takehome,exercise,pair,session"
Netlify,https://www.netlify.com/careers/,San Francisco,United States of America (USA),,Paid takehome project and online/onsite discussion,"takehome,project,onsite,discussion"
New Relic,https://newrelic.com/about/careers,San Francisco,United States of America (USA),,Takehome exercise &/ or pair programming session depending on the team,"takehome,exercise,pair,session,team"
NewVoiceMedia,https://www.newvoicemedia.com/about-newvoicemedia/careers,"Basingstoke,Wrocław","United Kingdom (UK),Poland",,"Telephone interview, takeaway coding exercise, on-site pair programming, code review & technical discussion (1/2 day)","telephone,interview,takeaway,exercise,pair,code,review,discussion,day"
Nexcess.net,https://nexcess.net,Southfield,United States of America (USA),,We mostly chat to get a feel on both ends if there's a good cultural fit. We ask questions to see what experience you have and how you think as a programmer. At some point we look at some of your code or have you work on some of ours (1 hour).,"chat,feel,both,end,there,question,experience,programmer,point,code,work,hour"
Nimbl3,https://www.workhiro.com/companies/nimbl3,Bangkok,Thailand,,Takehome exercise and specific role discussion,"takehome,exercise,role,discussion"
Niteoweb,http://www.niteoweb.com/careers,Ljubljana,Slovenia,,Join us for a week to see if we fit,week
Nitro,https://www.gonitro.com/about/jobs,"Dublin,San Francisco","Ireland,United States of America (USA)",,"Phone Call, Take Home Test, Hiring Manager Phone Interview followed by an onsite discussion","phone,home,test,manager,interview,onsite,discussion"
Noa,https://www.noa.one,"Berlin,San Francisco","Germany,United States of America (USA)",,"1 technical chat, 2-3 cultural chats with colleagues from different departments in the team, if these work a pair programming exercise","chat,colleague,department,team,work,pair,exercise"
NodeSource,http://nodesource.com/careers,,,checked,A person-to–person walk through of a past project of yours,"personto,person,project"
Nomoko,https://www.nomoko.world/jobs,Zurich,Switzerland,,Three interrogations,"three,interrogation"
Nord Software,https://www.nordsoftware.com/en/jobs/,"Stockholm,Tampere,Helsinki","Sweden,Finland,Finland",,Take-home exercise & interview with CEO and senior developer,"takehome,exercise,interview,ceo,developer"
NoRedInk,https://www.noredink.com/jobs,San Francisco,United States of America (USA),,Take-home exercise & pair programming session,"takehome,exercise,pair,session"
NoviCap,https://novicap.com/en/careers.html,Barcelona,Spain,,Takehome exercise & discussion on-site,"takehome,exercise,discussion"
Novoda,https://novoda.com/hiring,"London,Liverpool,Berlin,Barcelona","United Kingdom (UK),United Kingdom (UK),Germany,Spain",checked,2 x Pairing sessions & conversational interviews [(public repo)](https://github.com/novoda/dojos),"x,session,interview,repo,http,novoda,dojo"
Novus Partners,https://www.novus.com/jobs/,New York,United States of America (USA),,Take-home exercise & on-site exercises (choice of laptop or whiteboard),"exercise,takehome,choice,laptop,whiteboard"
"npm, Inc",https://npmjs.com/jobs,Oakland,United States of America (USA),checked,No technical challenges. Just interview conversations.,"challenge,interview,conversation"
Nubank,https://nubank.workable.com/,São Paulo,Brazil,,"Phone conversation, take-home exercise, code walkthrough, on-site code pairing.","code,phone,conversation,exercise,walkthrough"
numberly,https://www.numberly.com,Paris,France,,"Series of interviews, that go over technical background, past experiences and cultural knowledge","series,interview,background,experience,knowledge"
numer.ai,https://angel.co/numerai/jobs,San Francisco,United States of America (USA),,,
Nutshell,https://www.nutshell.com/jobs/,Ann Arbor,United States of America (USA),,Email screen / take-home programming excercise ([public repo](https://github.com/nutshellcrm/join-the-team)),"email,screen,excercise,repo,http,nutshellcrm,jointheteam"
Nyon,https://www.nyon.nl/vacatures,Amsterdam,Netherlands,,1. Skype (or real life) interview 2. Take home exercise (3-4 hours) 3. Meet entire team and pair programming sessions,"skype,life,interview,home,exercise,hour,team,pair,session"
